indicator,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count,rank_biserial,ci_low,ci_high
h2upper_index,0.6960348397229956,0.6643185033288652,0.6636226319219157,0.680672268907563,0.1330049261083744,0.6862108836724418,0.70042194092827,0.2725779967159277,0.6961295278097441,0.7078651685393258,0.4137931034482758,0.6790031012900797,0.6835443037974683,0.5320197044334976,0.6734007742445337,0.6756756756756757,0.6568144499178982,138,0.3920696794459912,0.3246076247590491,0.451960019990005
k index,0.6949425287356322,0.6673902166588006,0.6503926215928351,0.7310924369747899,0.1428571428571428,0.6976420460559315,0.7510548523206751,0.2922824302134647,0.7046307764547942,0.7415730337078652,0.4334975369458128,0.6908841970349612,0.7151898734177216,0.5566502463054187,0.668372814430431,0.6824324324324325,0.6633825944170771,170,0.3898850574712644,0.3253728135932033,0.4500494752623688
Ar index,0.6521653458984794,0.6173008110868567,0.6355519016189896,0.6470588235294118,0.1264367816091954,0.6397336516492387,0.6455696202531646,0.2512315270935961,0.6436186399257128,0.648876404494382,0.3793103448275862,0.6318980725345986,0.6329113924050633,0.4926108374384236,0.6311217178282371,0.6317567567567568,0.6141215106732348,178,0.3043306917969588,0.2421696294709789,0.3658829870778896
gf index,0.6469622331691297,0.6113295180165559,0.629468009522843,0.6470588235294117,0.1264367816091954,0.6319341112709203,0.6413502109704642,0.2495894909688013,0.631763484226425,0.6376404494382022,0.3727422003284072,0.6275414790265247,0.631082981715893,0.4911877394636015,0.6209576979752691,0.6221846846846847,0.6048166392993979,990,0.2939244663382594,0.2316867994574141,0.3536185478689225
pi index,0.6430013564646248,0.6067829095712112,0.623436363599211,0.6302521008403361,0.1231527093596059,0.6142413725328064,0.6160337552742616,0.2397372742200328,0.6207236301754662,0.6235955056179775,0.3645320197044335,0.6187250362727966,0.620253164556962,0.4827586206896552,0.6174127252689314,0.6182432432432432,0.6009852216748769,264,0.2860027129292495,0.2245155993431855,0.3488970514742629
Cite/Paper,0.6378667808952666,0.61463265065962,0.6208448250951809,0.6470588235294118,0.1264367816091954,0.6400279897920876,0.6582278481012658,0.2561576354679803,0.637121641427731,0.648876404494382,0.3793103448275862,0.6401951439004732,0.6497890295358649,0.5057471264367817,0.6120950927672113,0.6131756756756757,0.5960591133004927,128,0.2757335617905332,0.2094826872278146,0.3380089241093738
fractional g index,0.6435125294495609,0.6073454834515022,0.619919780566491,0.6386554621848739,0.1247947454844006,0.6244179716726731,0.6343178621659633,0.2468527640941433,0.622690616949537,0.6284109149277689,0.3673469387755102,0.6252864233807762,0.6301989150090415,0.490499648135116,0.6198006278104626,0.6225311850311851,0.6051534672224328,998,0.2870250588991219,0.224831227243521,0.3483025630042121
A index,0.6714399942885699,0.6325280961241495,0.6124168654814477,0.6638655462184874,0.1297208538587849,0.6496834593664222,0.6835443037974683,0.2660098522167488,0.6560289134435736,0.6797752808988764,0.3973727422003284,0.6347924569863655,0.6476793248945147,0.5041050903119869,0.6293860701833128,0.6385135135135135,0.6206896551724138,194,0.3428799885771398,0.2813250517598344,0.4041031627043621
g index,0.6135103876633112,0.5825321639270713,0.5636738012687137,0.5512605042016806,0.1077175697865353,0.5792134125179543,0.5768535262206147,0.2244897959183673,0.5914887846044131,0.5926966292134831,0.3464696223316913,0.5901566771119541,0.5907172995780591,0.4597701149425287,0.6062948701039591,0.6105480480480481,0.5935048348841453,947,0.2270207753266224,0.1650138502177482,0.2884749767973154
HI_index,0.60784036553152,0.5765937935055989,0.5626052320019853,0.5714285714285714,0.1116584564860427,0.5854360620435932,0.5949367088607594,0.2315270935960591,0.5864843154122122,0.5926966292134831,0.3464696223316913,0.5911843404577776,0.5970464135021097,0.4646962233169129,0.5915088964576537,0.5962837837837838,0.5796387520525451,182,0.2156807310630399,0.1519256086242593,0.2792815021060898
