method,target_prevalence,realized_prevalence,n_awardee,n_comparison,NDCG10,NDCG10_low,NDCG10_high,Precision10,Precision10_low,Precision10_high,Recall10,Recall10_low,Recall10_high,ROC-AUC,ROC-AUC_low,ROC-AUC_high,AP,AP_low,AP_high
LR,0.05,0.0495867768595041,30,575,0.4498346915654667,0.2657255843802059,0.6075578030093735,0.2020655737704918,0.1311475409836065,0.2786885245901639,0.4108666666666666,0.2666666666666666,0.5666666666666667,0.772896347826087,0.6791782608695652,0.8503855072463767,0.2801658694463547,0.1496124856511663,0.4259454820018322
LR,0.1,0.1001564945226917,64,575,0.4763393701535497,0.3719971108936822,0.5527166707812521,0.39071875,0.296875,0.453125,0.39071875,0.296875,0.453125,0.7717776902173913,0.7132880434782609,0.8286868206521739,0.3911566544384885,0.2948139326890152,0.4834730104339584
LR,0.2,0.2002781641168289,144,575,0.7035353869844262,0.6215242405624565,0.7660479472798086,0.6350416666666667,0.5416666666666666,0.7083333333333334,0.3175208333333333,0.2708333333333333,0.3541666666666667,0.7717235990338164,0.7335957125603865,0.8066736111111111,0.5397537240815374,0.4808251478633947,0.5922007649494989
LR,0.3,0.2996345919610231,246,575,0.8445050995325198,0.7848918440487572,0.8927928441518888,0.8063975903614458,0.7349397590361446,0.8674698795180723,0.2720772357723577,0.2479674796747967,0.2926829268292683,0.770560325203252,0.746546482856133,0.7951875220926123,0.640931249053084,0.6067292255949525,0.6711252084314842
LR,0.5,0.5,575,575,0.9453314954240462,0.9444579100777816,0.951837785260916,0.9307739130434786,0.9304347826086956,0.9391304347826088,0.1861547826086956,0.1860869565217391,0.1878260869565217,0.7709687349716446,0.7663510775047259,0.7760824952741021,0.7861832408136834,0.7818009775555925,0.790588429500253
RF,0.05,0.0495867768595041,30,575,0.386965599858776,0.2433052934220032,0.5355717863822321,0.1976885245901639,0.1311475409836065,0.2622950819672131,0.4019666666666666,0.2666666666666666,0.5333333333333333,0.7704125797101449,0.6851594202898551,0.8516681159420288,0.239235716100181,0.1402201278530396,0.3718907641876919
RF,0.1,0.1001564945226917,64,575,0.4133041486702676,0.3188286552955721,0.5039182057084185,0.363453125,0.28125,0.453125,0.363453125,0.28125,0.453125,0.7714245652173913,0.7111616847826088,0.8264429347826086,0.3585287852942658,0.2734145918871041,0.4464046767323279
RF,0.2,0.2002781641168289,144,575,0.6471153578368953,0.5655284959785972,0.7297457915864225,0.6097083333333334,0.5277777777777778,0.6944444444444444,0.3048541666666667,0.2638888888888889,0.3472222222222222,0.7705319685990337,0.736020531400966,0.804580917874396,0.5153716579159222,0.4617214383180444,0.5680551210522288
RF,0.3,0.2996345919610231,246,575,0.8024876396819032,0.7454831098070779,0.8567249546251101,0.7885180722891566,0.7228915662650602,0.8433734939759037,0.2660447154471544,0.2439024390243902,0.2845528455284553,0.7710662495581477,0.7469750795334041,0.7940183810533757,0.6256254014669362,0.5925657023414679,0.6549115030076225
RF,0.5,0.5,575,575,0.927952976566752,0.922238913538076,0.9388615290817828,0.9254086956521742,0.9217391304347826,0.9391304347826088,0.1850817391304347,0.1843478260869565,0.1878260869565217,0.771308515689981,0.7669192438563326,0.7760367485822306,0.7787242884464768,0.7743290848424909,0.78309949846525
HGB,0.05,0.0495867768595041,30,575,0.4383698232837657,0.270574850677582,0.5999756657590095,0.2172950819672131,0.1311475409836065,0.2950819672131147,0.4418333333333333,0.2666666666666666,0.6,0.7708404057971016,0.6803405797101448,0.8541246376811594,0.2552423501553108,0.1419920503611912,0.3956875237574022
HGB,0.1,0.1001564945226917,64,575,0.4575825260549699,0.3625277459003366,0.5447639655374864,0.389765625,0.3125,0.484375,0.389765625,0.3125,0.484375,0.7690699456521738,0.7104721467391304,0.824164402173913,0.3680622829178695,0.2786803358332018,0.4572365407991685
HGB,0.2,0.2002781641168289,144,575,0.7047486537415847,0.6322870821563557,0.7596478599904656,0.6549305555555555,0.5833333333333334,0.7083333333333334,0.3274652777777777,0.2916666666666667,0.3541666666666667,0.7703456521739129,0.7362913647342996,0.8028635265700483,0.5254826509075665,0.4671020203820928,0.5819698784175886
HGB,0.3,0.2996345919610231,246,575,0.8215892644059497,0.782822678513837,0.8531005874351985,0.7864939759036145,0.7469879518072289,0.8192771084337349,0.2653617886178862,0.2520325203252032,0.2764227642276423,0.7705538847649346,0.7478439377872039,0.7940051254860375,0.631952283779179,0.5997807007511968,0.6635185958479843
HGB,0.5,0.5,575,575,0.9476318287690928,0.9467261497570202,0.9481917983919592,0.9391739130434784,0.9391304347826088,0.9391304347826088,0.1878347826086956,0.1878260869565217,0.1878260869565217,0.7701682903591681,0.7656831001890358,0.7748591304347827,0.780994272971856,0.7764830270300335,0.7852963950784146
XGB,0.05,0.0495867768595041,30,575,0.4061352028608428,0.2386128964272913,0.5619246539577081,0.2056229508196721,0.1311475409836065,0.2786885245901639,0.4181,0.2666666666666666,0.5666666666666667,0.7685861449275362,0.6763086956521739,0.8498579710144928,0.2371235904175346,0.1339471499332348,0.3584201680323176
XGB,0.1,0.1001564945226917,64,575,0.4445552253738441,0.3287063944743792,0.5413131815329592,0.387171875,0.296875,0.46875,0.387171875,0.296875,0.46875,0.7682010597826087,0.7100516304347826,0.8233919836956523,0.3572867472111088,0.2643816161322416,0.4512586100158683
XGB,0.2,0.2002781641168289,144,575,0.6907982768863588,0.6263721448323242,0.7569661652475512,0.6487500000000002,0.5833333333333334,0.7222222222222222,0.3243750000000001,0.2916666666666667,0.3611111111111111,0.768541690821256,0.7319384057971016,0.8025141908212561,0.515405901570371,0.4598637411455095,0.5697408310506931
XGB,0.3,0.2996345919610231,246,575,0.8149388045876451,0.7806823681389078,0.8454865240200976,0.7862650602409639,0.7590361445783133,0.8192771084337349,0.2652845528455285,0.2560975609756097,0.2764227642276423,0.769132463768116,0.7442665252739483,0.7927104984093318,0.6255160752736345,0.5903705993976293,0.6572625354311691
XGB,0.5,0.5,575,575,0.9430517742354813,0.9365929510144162,0.9450469321470092,0.9373478260869564,0.9304347826086956,0.9391304347826088,0.1874695652173913,0.1860869565217391,0.1878260869565217,0.7694519349716445,0.7652077126654063,0.7741835916824198,0.77840751844805,0.7741178034672765,0.7829311853369905
