cut_distance,equivalent_abs_rho,indicator,family
0.05,0.95,Total Publication,F01
0.05,0.95,Total Citation,F02
0.05,0.95,Total Years,F03
0.05,0.95,Cite/Year,F04
0.05,0.95,Cite/Paper,F05
0.05,0.95,h index,F06
0.05,0.95,g index,F06
0.05,0.95,h(2) index,F02
0.05,0.95,w index,F02
0.05,0.95,h core citation,F02
0.05,0.95,m index,F07
0.05,0.95,f index,F06
0.05,0.95,t index,F06
0.05,0.95,tappered_h_index,F06
0.05,0.95,Maxprod,F02
0.05,0.95,wu index,F06
0.05,0.95,pi index,F02
0.05,0.95,weighted h index,F02
0.05,0.95,woginger_index,F08
0.05,0.95,Gh_index,F06
0.05,0.95,Rm index,F02
0.05,0.95,X index,F09
0.05,0.95,h2upper_index,F10
0.05,0.95,h2 center_index,F11
0.05,0.95,h2 lower_index,F12
0.05,0.95,k dash index,F13
0.05,0.95,i10 index,F06
0.05,0.95,normalized_h_index,F14
0.05,0.95,platinium_h_index,F04
0.05,0.95,m_qoutient_index,F15
0.05,0.95,HI_index,F06
0.05,0.95,AW_index,F02
0.05,0.95,Ar index,F02
0.05,0.95,V index,F16
0.05,0.95,hm_index,F06
0.05,0.95,hf index,F06
0.05,0.95,gf index,F06
0.05,0.95,gF index,F01
0.05,0.95,hi index,F06
0.05,0.95,h_m_index,F06
0.05,0.95,k norm index,F06
0.05,0.95,w norm index,F06
0.05,0.95,gm index,F01
0.05,0.95,A index,F07
0.05,0.95,R index,F02
0.05,0.95,P index,F17
0.05,0.95,q2 index,F02
0.05,0.95,e index,F02
0.05,0.95,hg_index,F06
0.05,0.95,pure h index,F06
0.05,0.95,fractional g index,F06
0.05,0.95,fractional h index,F06
0.05,0.95,AWCR,F02
0.05,0.95,Author/paper,F18
0.05,0.95,cites/author,F02
0.05,0.95,paper/author,F01
0.05,0.95,k index,F19
0.05,0.95,h dash index,F02
0.05,0.95,hl norm,F06
0.05,0.95,hc index,F02
0.05,0.95,ha index,F02
0.05,0.95,hi index s,F06
0.05,0.95,Rational h index,F06
0.05,0.95,Real h index,F20
0.1,0.9,Total Publication,F01
0.1,0.9,Total Citation,F02
0.1,0.9,Total Years,F03
0.1,0.9,Cite/Year,F04
0.1,0.9,Cite/Paper,F05
