model,cut_distance,family,count,members,mean_summed_abs_SHAP,SD,mean_per_indicator
HGB,0.05,F01,4,Total Publication | gF index | gm index | paper/author,0.1282366643968663,0.1330376671092773,0.0320591660992165
HGB,0.05,F02,18,Total Citation | h(2) index | w index | h core citation | Maxprod | pi index | weighted h index | Rm index | AW_index | Ar index | R index | q2 index | e index | AWCR | cites/author | h dash index | hc index | ha index,0.7200221876541786,0.4132580096224926,0.0400012326474543
HGB,0.05,F03,1,Total Years,0.0731779483298976,0.0923009912690082,0.0731779483298976
HGB,0.05,F04,2,Cite/Year | platinium_h_index,0.1883925563691402,0.100065296910295,0.0941962781845701
HGB,0.05,F05,1,Cite/Paper,0.0445507114689541,0.0677684293850559,0.0445507114689541
HGB,0.05,F06,23,h index | g index | f index | t index | tappered_h_index | wu index | Gh_index | i10 index | HI_index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | hg_index | pure h index | fractional g index | fractional h index | hl norm | hi index s | Rational h index,0.7598304481284273,0.482326154658443,0.0330361064403664
HGB,0.05,F07,2,m index | A index,0.1816187597106967,0.1399253141014029,0.0908093798553483
HGB,0.05,F08,1,woginger_index,0.0519725786614136,0.085621798430794,0.0519725786614136
HGB,0.05,F09,1,X index,0.2513756374716074,0.2696825680870977,0.2513756374716074
HGB,0.05,F10,1,h2upper_index,0.2459163848849942,0.1459059837868385,0.2459163848849942
HGB,0.05,F11,1,h2 center_index,0.133613878287398,0.1340523334751067,0.133613878287398
HGB,0.05,F12,1,h2 lower_index,0.0407704530518236,0.0440215125906143,0.0407704530518236
HGB,0.05,F13,1,k dash index,0.0542579833585089,0.0841284148860303,0.0542579833585089
HGB,0.05,F14,1,normalized_h_index,0.0351484195020342,0.0482573190602022,0.0351484195020342
HGB,0.05,F15,1,m_qoutient_index,0.0477795656622173,0.0752049718062563,0.0477795656622173
HGB,0.05,F16,1,V index,0.2342067603320852,0.1395158880208405,0.2342067603320852
HGB,0.05,F17,1,P index,0.1463674565969942,0.1322334578863727,0.1463674565969942
HGB,0.05,F18,1,Author/paper,0.194798372255962,0.1560021790020422,0.194798372255962
HGB,0.05,F19,1,k index,0.3342884114689133,0.1549933566463778,0.3342884114689133
HGB,0.05,F20,1,Real h index,0.0733973147040078,0.0868973304867409,0.0733973147040078
HGB,0.1,F01,4,Total Publication | gF index | gm index | paper/author,0.1282366643968663,0.1330376671092773,0.0320591660992165
HGB,0.1,F02,41,Total Citation | h index | g index | h(2) index | w index | h core citation | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | hi index | h_m_index | k norm index | w norm index | R index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,1.479852635782606,0.7473415614524705,0.036093966726405
HGB,0.1,F03,1,Total Years,0.0731779483298976,0.0923009912690082,0.0731779483298976
HGB,0.1,F04,2,Cite/Year | platinium_h_index,0.1883925563691402,0.100065296910295,0.0941962781845701
HGB,0.1,F05,2,Cite/Paper | normalized_h_index,0.0796991309709884,0.0857239099967133,0.0398495654854942
HGB,0.1,F06,3,m index | A index | P index,0.3279862163076909,0.2078999717297761,0.1093287387692303
HGB,0.1,F07,1,woginger_index,0.0519725786614136,0.085621798430794,0.0519725786614136
HGB,0.1,F08,1,X index,0.2513756374716074,0.2696825680870977,0.2513756374716074
HGB,0.1,F09,1,h2upper_index,0.2459163848849942,0.1459059837868385,0.2459163848849942
HGB,0.1,F10,1,h2 center_index,0.133613878287398,0.1340523334751067,0.133613878287398
HGB,0.1,F11,1,h2 lower_index,0.0407704530518236,0.0440215125906143,0.0407704530518236
HGB,0.1,F12,1,k dash index,0.0542579833585089,0.0841284148860303,0.0542579833585089
HGB,0.1,F13,1,m_qoutient_index,0.0477795656622173,0.0752049718062563,0.0477795656622173
HGB,0.1,F14,1,V index,0.2342067603320852,0.1395158880208405,0.2342067603320852
