Unnamed: 0,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index
Total Publication,1.0,0.8535996677672044,0.6607084420855885,0.7144520813345981,0.3235766526284679,0.9126399082983306,0.9231486176130512,0.84468555771775,0.8369050972841177,0.8277398188831111,0.7050098948690018,0.92165835678751,0.9229857770378836,0.9430838983613672,0.8163579003510535,0.964018156959779,0.8351385695492777,0.8223879272462294,0.4058749621118617,0.9152217096769336,0.8684024937520036,0.7389422942245214,0.1781616689185237,0.1219951978585135,0.513874369544346,0.7378609036692493,0.9422316316654517,0.3934619132200857,0.5365467761763554,0.4351378382648919,0.9046632956339052,0.8536002431664543,0.7967327706601114,0.7167819727701679,0.9249773123787708,0.8822696366789597,0.8644622786620425,1.0,0.8867373295573205,0.9239854398766564,0.8777388886300245,0.8807007949021857,0.999573330250242,0.6985952815137547,0.8277398188831111,0.51847248205397,0.8364249141612992,0.7991395901006614,0.9223060308597356,0.9078993212358458,0.8648637846503592,0.883323908700041,0.8365026669347491,0.1800432947671116,0.8515496360785957,0.9740294148813604,0.3683433136410241,0.7946324154701475,0.8803123539406653,0.8478281489097977,0.8015904238054546,0.8867380841414274,0.9033913471364924,0.8530097260461347
Total Citation,0.8535996677672044,1.0,0.5485541808505191,0.929268236923864,0.1438967916072462,0.9649645563143716,0.9594578895461424,0.9857095503173626,0.9856982731959754,0.9980461247328024,0.9385884456986812,0.9583506871678344,0.9640607827095892,0.9505227178502,0.9953167191424472,0.9269446275181086,0.9937982583811104,0.9971585055392598,0.7504246933619773,0.9615078795694127,0.9947265294116808,0.682379269028576,0.1777031737586542,0.1096881682576817,0.073976231524595,0.4421530482068526,0.947692026056528,0.0244512750716031,0.8467559770018963,0.6038975707443256,0.9372037528979932,0.9999999837324384,0.9819433364445964,0.8287036783926334,0.9351421774297364,0.972065207621532,0.9580825240075777,0.8535996677672044,0.9357012046460776,0.9327816884454158,0.9770357424602424,0.9774552475399484,0.8548609732288793,0.9503628532249916,0.9980461247328024,0.8711095799511189,0.9892516401441696,0.9915779781216464,0.9667074040034804,0.9587639497607864,0.9679053923219976,0.9649270353685064,0.9778792450869116,0.2654618021707481,0.9899811402573896,0.8067204154179227,0.5965508710134337,0.9914981117102896,0.9729178485827954,0.9644759967498718,0.9574060255744484,0.9357176154212108,0.942831905853442,0.7285494663499613
Total Years,0.6607084420855885,0.5485541808505191,1.0,0.2465653215599847,0.2409360092085931,0.563959288447069,0.5946909592510691,0.5451383129433508,0.5348238661332319,0.5351824734681396,0.4679975388230748,0.5713617624978355,0.5789935431357123,0.5850769847009566,0.5269648187512785,0.6061705153008992,0.5547083354594367,0.5337715725749264,0.2295807729257151,0.5674834677893877,0.5499594766832457,0.4084400549294919,0.0174543040203285,0.0248659715065857,0.430374029572356,0.4870153737781382,0.5774151384212299,0.3413636150971503,0.1177636821236956,0.1899439438840786,0.6230537089611751,0.548552702247252,0.5539925013499782,0.1650110600208942,0.6116935765327639,0.5880595231967923,0.597774752455499,0.6607084420855885,0.6000490486720633,0.6124737784667993,0.5832892145968699,0.5842664723382517,0.6598412628525755,0.4796886017941903,0.5351824734681396,0.3237995785533556,0.5340465690124808,0.5240022646944364,0.5816794697450318,0.5873893071232272,0.5910153028645677,0.5829452362071904,0.4852329593424378,0.1291832038320897,0.5796902664890141,0.7190143265217134,0.2763455649042371,0.5160942042543795,0.5863267968668129,0.488720323947726,0.4595500464382813,0.6000481722744404,0.5523526625734939,0.5294802643549748
Cite/Year,0.7144520813345981,0.929268236923864,0.2465653215599847,1.0,0.2948150765895517,0.880543482902666,0.8630581284820255,0.9109732092674788,0.9173970299180716,0.9331261225299444,0.9017234557358522,0.8701193574665163,0.8738935356723094,0.8558203165406952,0.9344315285115636,0.8202605588878186,0.9201889069543614,0.933034267644292,0.7809484474266901,0.8740339954092005,0.9215530153159356,0.6213824072099318,0.2519206515097867,0.1260431150071108,0.0810427509231452,0.3240295868576257,0.8574493618967933,0.186802841626066,0.9641468132399856,0.8124103137253581,0.8233896930285903,0.929267182491282,0.909033635253088,0.9099725529485512,0.8259197135852516,0.8793218074971653,0.8620189715880443,0.7144520813345981,0.8322639922081729,0.8217644286276246,0.8879119179592487,0.8879628404392846,0.7166933032477958,0.9108053462429488,0.9331261225299444,0.8934138583349528,0.9230485900586006,0.9310588881692932,0.8759057528852736,0.8637494748697148,0.8764650275544422,0.8734398447041486,0.9313966293712674,0.3679014858190577,0.90508044372013,0.6383443630391225,0.5947357313342386,0.934304627798614,0.880978406421035,0.9116094385415624,0.917123065973105,0.8322869407604789,0.8662359998899755,0.6219192834003147
Cite/Paper,0.3235766526284679,0.1438967916072462,0.2409360092085931,0.2948150765895517,1.0,0.0082687344266737,0.001269356165647,0.1430274020019231,0.1565156414450461,0.1873908743227715,0.3161916973114511,0.0200262108118815,0.0041821165221842,0.065130048901408,0.2019395816615015,0.1397187817360108,0.1673958635472003,0.1960865454904254,0.6064338279526642,0.0134533949947021,0.1158422202249388,0.1572861058569412,0.7656432795987421,0.3208488704065584,0.7988221804800323,0.5449877512614145,0.0716854332099422,0.914724107219986,0.5007626615376962,0.3239882614762179,0.0148979227521235,0.1438968091489512,0.2146263767236761,0.1501268334801842,0.0538770859885396,0.0660200399906519,0.0955112096269189,0.3235766526284679,0.0130962626916085,0.0679713111447842,0.0855815871966685,0.0797886163024629,0.3163551576608193,0.341735193738166,0.1873908743227715,0.5660796573410056,0.1578456349160295,0.2270824463530784,0.0032604954009717,0.0092246559501494,0.1102972732848132,0.0584482819473746,0.1393450380395865,0.144263046664014,0.1348672174338631,0.3576287380532109,0.4861578113959283,0.2319407099859713,0.0724593787542963,0.1082432919314765,0.165893386245354,0.0131124136812657,0.0077616366941801,0.2721759815573004
h index,0.9126399082983306,0.9649645563143716,0.563959288447069,0.880543482902666,0.0082687344266737,1.0,0.9801714411220326,0.9713825311802068,0.967278704999038,0.9550149480857985,0.8616339795704184,0.9957197061759314,0.9950724301873424,0.994295520401576,0.9453935362825548,0.9781622463535244,0.9408627696670552,0.951007138169451,0.6941400626612961,0.9976585960122346,0.9834929993367184,0.7786127133281022,0.0005809197700685,0.0800764401057766,0.197095380623133,0.5600988109259933,0.9867791092792944,0.0449896057420293,0.7831424211215839,0.6227925127318759,0.970816765777582,0.96496513181281,0.923293626352619,0.859547585394373,0.9759047456108574,0.9833558257210272,0.9517562774128828,0.9126399082983306,0.9662090861413736,0.9739186188668032,0.9826265941675064,0.9838521295317424,0.9135986601243312,0.8475707936255858,0.9550149480857985,0.7677266187726811,0.9643119237713578,0.9342494071694608,0.9946815565797128,0.9917618775110992,0.9587023297502087,0.9806712684502372,0.9483947569780384,0.2676544130280767,0.9550716280232384,0.8605319138109565,0.5306324812754936,0.9364856639015028,0.9828709506876064,0.9667898131890504,0.9307721960803944,0.9662177239489084,0.983517085982372,0.8111805191976573
g index,0.9231486176130512,0.9594578895461424,0.5946909592510691,0.8630581284820255,0.001269356165647,0.9801714411220326,1.0,0.9593665401532906,0.9571312666404932,0.9522129994553872,0.8571840404988896,0.9843694209887888,0.9919107003390532,0.980313540045234,0.9416804812880122,0.9717465327798716,0.9496903811984276,0.9494428031716948,0.6944318314869351,0.9784246399440386,0.9704025814560608,0.7041025754218675,0.0601595410040326,0.0002755600996442,0.2115568976156203,0.5548010644980824,0.974783838625092,0.1029001533885838,0.7546510938116727,0.5740201152817551,0.9632159449226844,0.9594583674323014,0.9261120922745236,0.8234512115374631,0.9698160794110554,0.972046945579616,0.9729379588966172,0.9231486176130512,0.9565793091120752,0.9677634243061736,0.9722316974634372,0.9728260691472096,0.9240728211627112,0.8634060395040816,0.9522129994553872,0.7604657357458104,0.9484791511914225,0.9381151390890092,0.9951401907459692,0.9770538943589008,0.976109841077116,0.9674560528603656,0.9374626675004936,0.2219785205653175,0.9543236652747872,0.8843345106348244,0.597446376747111,0.9329777358564476,0.9709196208063202,0.9487360091318502,0.9206742543824392,0.9565821979755348,0.9714292466215134,0.823277835749352
h(2) index,0.84468555771775,0.9857095503173626,0.5451383129433508,0.9109732092674788,0.1430274020019231,0.9713825311802068,0.9593665401532906,1.0,0.9937734788500784,0.9854128898157,0.933411106454414,0.964225550031926,0.96778363578098,0.9520580641758976,0.9777956488149772,0.9237686573138648,0.974088462824288,0.9839795878841548,0.7737415949044485,0.9676939789437764,0.9924873170757204,0.7147273490159808,0.1641496374092698,0.0668595781399663,0.0728800248978208,0.4300007539080087,0.9458584423497246,0.0482912838490601,0.8371027754469649,0.6096870015620516,0.9434674211105184,0.9857092338099216,0.9667004087265652,0.8370197010698265,0.9367901918023256,0.9807934995921296,0.955716975956195,0.84468555771775,0.941443727458322,0.9344921965888576,0.9839059932452584,0.9839183624252166,0.8458548368957125,0.9221317913377628,0.9854128898157,0.8547985962933438,0.9902089571861212,0.9778993769725046,0.9698233957425364,0.9648868278283542,0.9662184322129348,0.9718544922855352,0.964077266659456,0.2611016637820905,0.9766930333660396,0.7974333231086186,0.5830237366928193,0.9792230757076472,0.9816046755054372,0.9724739972443012,0.9578543550652846,0.9414604037154948,0.945944323081092,0.7217354003358649
w index,0.8369050972841177,0.9856982731959754,0.5348238661332319,0.9173970299180716,0.1565156414450461,0.967278704999038,0.9571312666404932,0.9937734788500784,1.0,0.9864104069339056,0.9443392112865746,0.961440801352316,0.9654530770981328,0.9472050261289244,0.9799454731906602,0.917893568919022,0.9750331206206606,0.98528395535091,0.7796313569149691,0.9635871855927316,0.9912128145950376,0.7048918164963405,0.1840153075189261,0.0986468050557746,0.0492424469759857,0.4167185303958988,0.9449721720841808,0.0519382490647315,0.846513446112201,0.6122710602297932,0.9371340926487224,0.98569833138823,0.9677486139173544,0.8359017547816816,0.9301910574154604,0.9768791720210964,0.954804964877286,0.8369050972841177,0.934579459048856,0.9284806019191738,0.9812073657319544,0.9809169486661236,0.8381313773590192,0.9298251706757092,0.9864104069339056,0.8664564413807921,0.9916636551782207,0.98061334233093,0.966699526751491,0.9594183271858868,0.9649771971872448,0.9671440176848622,0.9649961506102592,0.2718446781403942,0.974949714342562,0.7877014429652167,0.5905778430312761,0.9815924846377982,0.9775466303593564,0.9732399703390112,0.9623517260859225,0.9345960630493666,0.9470285088730028,0.7174104492155773
h core citation,0.8277398188831111,0.9980461247328024,0.5351824734681396,0.9331261225299444,0.1873908743227715,0.9550149480857985,0.9522129994553872,0.9854128898157,0.9864104069339056,1.0,0.9476692398251982,0.9478711532823776,0.9546021440438788,0.9355941002258004,0.9970084094104996,0.9075545261338464,0.9954811622378652,0.9996217528591016,0.77757564341639,0.9508949966539282,0.991501263978759,0.657661110138631,0.2243773727591157,0.1386021365301308,0.0334053147140713,0.4010852857338736,0.9323586240696132,0.0599336045759686,0.8612049104469012,0.6044427752252279,0.9273937902991064,0.9980462223722923,0.986162811457236,0.8247768144124284,0.9214252008193804,0.9669111740536834,0.957002521157492,0.8277398188831111,0.926759078113293,0.9190991807409444,0.972812196318144,0.972762861508244,0.8291808427386549,0.9630284260630236,1.0,0.8928192179607619,0.9884547918690494,0.9970916904139574,0.9580338252606267,0.9492657565374002,0.9673190946554904,0.9586373082722296,0.9753180879744874,0.2639206295769583,0.9879770253049908,0.7814483737840402,0.6230130630479983,0.9968925536851924,0.9678998261464214,0.9613858605215252,0.9585888615630588,0.9267766034672632,0.9330629418764974,0.7056260080824803
