Author Name,Class,identity_group,outer_fold
A. Blaauw Gerrit,1,1:A. Blaauw Gerrit,1
A. Gosling James,1,1:A. Gosling James,3
A. Lebedev Sergey,1,1:A. Lebedev Sergey,5
A. Lyapunov Alexey,1,1:A. Lyapunov Alexey,5
A. Mead Carver,1,1:A. Mead Carver,1
A. Patterson David,1,1:A. Patterson David,2
A. Petri Carl,1,1:A. Petri Carl,4
A. R. Hoare C.,1,1:A. R. Hoare C.,3
A.J. Robin Milner,1,1:A.J. Robin Milner,1
Aashay Shringarpure,1,1:Aashay Shringarpure,3
Abtin Rahimian,1,1:Abtin Rahimian,4
Adam Bertsch,1,1:Adam Bertsch,2
Adi Shamir,1,1:Adi Shamir,5
Adolfo G. Eguiluz,1,1:Adolfo G. Eguiluz,2
Adrien Leblanc,1,1:Adrien Leblanc,5
Aggarwal J.K.,1,1:Aggarwal J.K.,1
Akinori Yamanaka,1,1:Akinori Yamanaka,3
Akira Nukada,1,1:Akira Nukada,4
Alan Kay,1,1:Alan Kay,3
Alessandro Curioni,1,1:Alessandro Curioni,4
Alex Aiken,1,1:Alex Aiken,1
Alexandros Nikolaos Ziogas,1,1:Alexandros Nikolaos Ziogas,2
Alfred Aho,1,1:Alfred Aho,5
Alfred Z. Spector,1,1:Alfred Z. Spector,2
Allen Frances,1,1:Allen Frances,2
Amir Pnueli,1,1:Amir Pnueli,1
Amnon Naamad,1,1:Amnon Naamad,3
Andrew Birrell,1,1:Andrew Birrell,4
Andrew Chi-Chih Yao,1,1:Andrew Chi-Chih Yao,5
Andrew Myers,1,1:Andrew Myers,3
Andrew Wilson,1,1:Andrew Wilson,1
Angelov Angel,1,1:Angelov Angel,2
Anton Kozhevnikov,1,1:Anton Kozhevnikov,4
Aparna Chandramowlishwaran,1,1:Aparna Chandramowlishwaran,5
Aron Trauring,1,1:Aron Trauring,1
Atsushi Oshiyama,1,1:Atsushi Oshiyama,2
Atsushi Suenaga,1,1:Atsushi Suenaga,3
Atsuya Uno,1,1:Atsuya Uno,5
Avi Wigderson,1,1:Avi Wigderson,4
Axel Huebl,1,1:Axel Huebl,1
B. Furber Stephen,1,1:B. Furber Stephen,2
Babak Hejazialhosseini,1,1:Babak Hejazialhosseini,3
Barbara J.H. Liskov,1,1:Barbara J.H. Liskov,4
Barbara Liskov,1,1:Barbara Liskov,5
Bell Gordon,1,1:Bell Gordon,2
Bernhard Schommer,1,1:Bernhard Schommer,3
Bertino Elisa,1,1:Bertino Elisa,1
Bertrand Meyer,1,1:Bertrand Meyer,3
Beth Keser,1,1:Beth Keser,4
Bhargava Bharat,1,1:Bhargava Bharat,5
Bikash Kanungo,1,1:Bikash Kanungo,1
Bing Dang,1,1:Bing Dang,4
Bingwei Chen,1,1:Bingwei Chen,2
Bjarne Stroustrup,1,1:Bjarne Stroustrup,3
Bloch Erich,1,1:Bloch Erich,5
Bowyer Kevin,1,1:Bowyer Kevin,1
Bradley N Miller,1,1:Bradley N Miller,2
Brannon Batson,1,1:Brannon Batson,3
Brian Behlendorf,1,1:Brian Behlendorf,4
Brian E. Granger,1,1:Brian E. Granger,5
Brian Towles,1,1:Brian Towles,1
Brinch Hansen Per,1,1:Brinch Hansen Per,4
Bronis R. De Supinski,1,1:Bronis R. De Supinski,2
Bruce Croft W.,1,1:Bruce Croft W.,3
Bruce Nelson,1,1:Bruce Nelson,5
Bruno Barras,1,1:Bruno Barras,1
Buchholz Werner,1,1:Buchholz Werner,2
Burstall Rod,1,1:Burstall Rod,5
Butler W. Lampson,1,1:Butler W. Lampson,3
Byounghak Lee,1,1:Byounghak Lee,4
C. Engelbart Douglas,1,1:C. Engelbart Douglas,1
C. Moisil Grigore,1,1:C. Moisil Grigore,3
Camenisch Jan,1,1:Camenisch Jan,2
Carol Willing,1,1:Carol Willing,5
Catmull Edwin,1,1:Catmull Edwin,4
Chandrasekhar Nair,1,1:Chandrasekhar Nair,1
Chao Yang,1,1:Chao Yang,2
Charles P. Thacker,1,1:Charles P. Thacker,3
Chen Hsinchun,1,1:Chen Hsinchun,4
Chen Wen-Tsuen,1,1:Chen Wen-Tsuen,5
Chenggang Zhou,1,1:Chenggang Zhou,1
Chetan Murthy,1,1:Chetan Murthy,5
Chillarege Ram,1,1:Chillarege Ram,2
Christelle Piechurski,1,1:Christelle Piechurski,3
Christine Paulin-Mohring,1,1:Christine Paulin-Mohring,5
Christoph W Ueberhuber,1,1:Christoph W Ueberhuber,4
Christos Papadimitriou,1,1:Christos Papadimitriou,2
Chu Guo,1,1:Chu Guo,1
Chu Wesley,1,1:Chu Wesley,4
Chuan-Seng Tan,1,1:Chuan-Seng Tan,3
Cliff Skolnick,1,1:Cliff Skolnick,1
Cliff Young,1,1:Cliff Young,3
Cocke John,1,1:Cocke John,2
"Conghui He,",1,"1:Conghui He,",4
Conway Lynn,1,1:Conway Lynn,5
Costas Bekas,1,1:Costas Bekas,1
Cousot Patrick,1,1:Cousot Patrick,3
Cousot Radhia,1,1:Cousot Radhia,2
D. Gligor Virgil,1,1:D. Gligor Virgil,4
D. Jones Neil,1,1:D. Jones Neil,5
D. Mills Harlan,1,1:D. Mills Harlan,1
DEBORAH ESTRIN,1,1:DEBORAH ESTRIN,3
Dahl Ole-Johan,1,1:Dahl Ole-Johan,2
Daisuke Takahashi,1,1:Daisuke Takahashi,4
"Dajia Peng,",1,"1:Dajia Peng,",5
DamiaÃŒÂn Avila,1,1:Damián Avila,4
Daniel Bobrow,1,1:Daniel Bobrow,1
Daniel S. Bricklin,1,1:Daniel S. Bricklin,2
Daphne Koller,1,1:Daphne Koller,3
Darema Frederica,1,1:Darema Frederica,5
Dave Thomson,1,1:Dave Thomson,4
David A Patterson,1,1:David A Patterson,1
David A. Nichols,1,1:David A. Nichols,2
David B. Kirk,1,1:David B. Kirk,3
David Cock,1,1:David Cock,5
David DeWitt,1,1:David DeWitt,2
David F Richards,1,1:David F Richards,3
David H Bailey,1,1:David H Bailey,4
David Harel,1,1:David Harel,1
David M. Blei,1,1:David M. Blei,5
David Maltz,1,1:David Maltz,4
David Robinson,1,1:David Robinson,1
David Rogers,1,1:David Rogers,2
David Shaw,1,1:David Shaw,3
Demetri Terzopoulos,1,1:Demetri Terzopoulos,5
"Denghui Lu,",1,"1:Denghui Lu,",1
Denis Zorin,1,1:Denis Zorin,2
Dennis Jack,1,1:Dennis Jack,4
Dexun Chen,1,1:Dexun Chen,3
Dhairya Malhotra,1,1:Dhairya Malhotra,5
Dhammika Elkaduwe,1,1:Dhammika Elkaduwe,3
Dharmendra Modha,1,1:Dharmendra Modha,5
Diego Rossinelli,1,1:Diego Rossinelli,1
Diuxian Liu,1,1:Diuxian Liu,2
Donald M. Nicholson,1,1:Donald M. Nicholson,5
Dong Chen,1,1:Dong Chen,4
Doug John Ierardi,1,1:Doug John Ierardi,1
Douglas Engelbart,1,1:Douglas Engelbart,2
E. Allen Emerson,1,1:E. Allen Emerson,3
E. Grady Booch,1,1:E. Grady Booch,4
E. Kahn Robert,1,1:E. Kahn Robert,1
E. Knuth Donald,1,1:E. Knuth Donald,4
E. Kurtz Thomas,1,1:E. Kurtz Thomas,5
EVA TARDOS,1,1:EVA TARDOS,2
EVA TARDOS (1),1,1:EVA TARDOS,2
Edmond Chow,1,1:Edmond Chow,3
Edmund M. Clarke,1,1:Edmund M. Clarke,1
Edouard Bugnion,1,1:Edouard Bugnion,3
Eduardo Francisco D'Azevedo,1,1:Eduardo Francisco D'Azevedo,4
Edward Feigenbaum,1,1:Edward Feigenbaum,2
Edward Sutherland Ivan,1,1:Edward Sutherland Ivan,4
Edwin Catmull,1,1:Edwin Catmull,5
Elizabeth (Betty) Snyder-Holberton Frances,1,1:Elizabeth (Betty) Snyder-Holberton Frances,1
Elizabeth (Betty) Snyder-Holberton Frances (1),1,1:Elizabeth (Betty) Snyder-Holberton Frances,1
Ellen Wang,1,1:Ellen Wang,5
Ellen Wang (1),1,1:Ellen Wang,5
Ephraim Suhir,1,1:Ephraim Suhir,3
Ephraim Suhir (1),1,1:Ephraim Suhir,3
Eric A. Brewer,1,1:Eric A. Brewer,1
Eric A. Brewer (1),1,1:Eric A. Brewer,1
Eric Bina,1,1:Eric Bina,2
Eric Bina (1),1,1:Eric Bina,2
Erich Gamma,1,1:Erich Gamma,4
Erich Gamma (1),1,1:Erich Gamma,4
Erich Strohmaier,1,1:Erich Strohmaier,5
Erich Strohmaier (1),1,1:Erich Strohmaier,5
Erik W. Draeger,1,1:Erik W. Draeger,3
Erik W. Draeger (1),1,1:Erik W. Draeger,3
Estrin Gerald,1,1:Estrin Gerald,5
Estrin Gerald (1),1,1:Estrin Gerald,5
Evans David,1,1:Evans David,1
F. Clippinger Richard,1,1:F. Clippinger Richard,2
F. Felzenszwalb Pedro,1,1:F. Felzenszwalb Pedro,4
FRANK THOMSON,1,1:FRANK THOMSON,2
Fagin Ronald,1,1:Fagin Ronald,1
"Fang (Nancy) Li,",1,"1:Fang (Nancy) Li,",3
Feigenbaum Edward,1,1:Feigenbaum Edward,5
Felleisen Matthias,1,1:Felleisen Matthias,2
Feng Tse-yun,1,1:Feng Tse-yun,4
Fernando J. Corbato,1,1:Fernando J. Corbato,4
Fernando PeÃŒÂrez,1,1:Fernando Pérez,1
Ferrari Elena,1,1:Ferrari Elena,2
France Boillod-Cerneaux,1,1:France Boillod-Cerneaux,3
Frances E. Allen,1,1:Frances E. Allen,5
Francois Gygi,1,1:Francois Gygi,1
Frank Codd Edgar,1,1:Frank Codd Edgar,2
Frans Kaashoek,1,1:Frans Kaashoek,3
Franz Franchetti,1,1:Franz Franchetti,4
Franz Michael,1,1:Franz Michael,5
Frederick H Streitz,1,1:Frederick H Streitz,5
Frederick P. Brooks,1,1:Frederick P. Brooks,1
Freeman Herbert,1,1:Freeman Herbert,2
Fristacky Norbert,1,1:Fristacky Norbert,3
G. Bourbakis Nikolaos,1,1:G. Bourbakis Nikolaos,4
Gara Alan,1,1:Gara Alan,4
Garcia-Luna-Aceves Jose,1,1:Garcia-Luna-Aceves Jose,3
Gehrke Johannes,1,1:Gehrke Johannes,1
Geoffrey Hinton,1,1:Geoffrey Hinton,5
George Biros,1,1:George Biros,2
George Karniadakis,1,1:George Karniadakis,4
Georgiev Iliev Lubomir,1,1:Georgiev Iliev Lubomir,3
Gerald C. Combs,1,1:Gerald C. Combs,3
Gerard J. Holzmann,1,1:Gerard J. Holzmann,1
Gerard P Huet,1,1:Gerard P Huet,2
Gerhard Klimeck,1,1:Gerhard Klimeck,4
Gernot Heiser,1,1:Gernot Heiser,5
Gerwin Klein,1,1:Gerwin Klein,1
Ghafoor Arif,1,1:Ghafoor Arif,3
Ghosh Sumit,1,1:Ghosh Sumit,5
Gonzalo Alvarez,1,1:Gonzalo Alvarez,2
Gordon Bell C.,1,1:Gordon Bell C.,4
Gourab Panigrahi,1,1:Gourab Panigrahi,2
Govindaraju Venu,1,1:Govindaraju Venu,4
Grandison Tyrone,1,1:Grandison Tyrone,1
Greg Adams,1,1:Greg Adams,3
Gregory Brown,1,1:Gregory Brown,5
Gruska Jozef,1,1:Gruska Jozef,1
Guangwen Yang,1,1:Guangwen Yang,3
Gyan Bhanot,1,1:Gyan Bhanot,2
H. Bridge William,1,1:H. Bridge William,4
H. Liskov Barbara,1,1:H. Liskov Barbara,5
H. Sequin Carlo,1,1:H. Sequin Carlo,1
H. Spafford Eugene,1,1:H. Spafford Eugene,2
H. Ware Willis,1,1:H. Ware Willis,4
Hagi Lachover,1,1:Hagi Lachover,5
Han Jiawei,1,1:Han Jiawei,3
"Han Wang,",1,"1:Han Wang,",1
Hans-J. Boehm,1,1:Hans-J. Boehm,2
Haohuan Fu,1,1:Haohuan Fu,3
"Haohuan Fu,",1,"1:Haohuan Fu,",4
Hari Balakrishnan,1,1:Hari Balakrishnan,5
Harvey Tuch,1,1:Harvey Tuch,2
Heliang Huang,1,1:Heliang Huang,4
Henri Vincenti,1,1:Henri Vincenti,5
Hoare C.A.R.,1,1:Hoare C.A.R.,1
Hoare Tony,1,1:Hoare Tony,3
Hongtao You,1,1:Hongtao You,1
Hongzhang Shan,1,1:Hongzhang Shan,3
Hopcroft John,1,1:Hopcroft John,2
Horejs Jiri,1,1:Horejs Jiri,4
Horst D Simon,1,1:Horst D Simon,5
Hosaka Mamoru,1,1:Hosaka Mamoru,2
Huarong Chen,1,1:Huarong Chen,4
Hugo Herbelin,1,1:Hugo Herbelin,1
Hui-I Hsiao,1,1:Hui-I Hsiao,3
Ichikawa Tadao,1,1:Ichikawa Tadao,5
Ilya Lashuk,1,1:Ilya Lashuk,3
Ivan Sutherland,1,1:Ivan Sutherland,1
J Strother Moore,1,1:J Strother Moore,2
J. Culler Glen,1,1:J. Culler Glen,4
J. Dally William,1,1:J. Dally William,5
J. McCluskey Edward,1,1:J. McCluskey Edward,3
J. Smith Burton,1,1:J. Smith Burton,5
J.P. Grossman,1,1:J.P. Grossman,1
J.P. Tsai Jeffrey,1,1:J.P. Tsai Jeffrey,2
JEFFREY ADGATE DEAN,1,1:JEFFREY ADGATE DEAN,4
Jack Dongarra,1,1:Jack Dongarra,1
Jacques-Henri Jourdan,1,1:Jacques-Henri Jourdan,5
Jain Anil,1,1:Jain Anil,2
James C. Sexton,1,1:James C. Sexton,3
James Gosling,1,1:James Gosling,4
James N Glosli,1,1:James N Glosli,3
Jason Grout,1,1:Jason Grout,5
Jayant Haritsa,1,1:Jayant Haritsa,2
Jean Jennings Bartik Betty,1,1:Jean Jennings Bartik Betty,3
Jean-Baptiste Tristan,1,1:Jean-Baptiste Tristan,1
Jean-Christophe FilliaÃŒÂ‚tre,1,1:Jean-Christophe Filliâtre,4
Jeff Rulifson,1,1:Jeff Rulifson,5
Jeffrey A Dean,1,1:Jeffrey A Dean,1
Jeffrey F Naughton,1,1:Jeffrey F Naughton,4
Jeffrey Kuskin,1,1:Jeffrey Kuskin,2
Jeffrey M. Larkin,1,1:Jeffrey M. Larkin,3
Jeffrey S Vetter,1,1:Jeffrey S Vetter,5
Jeffrey Ullman,1,1:Jeffrey Ullman,3
Jeremy Meredith,1,1:Jeremy Meredith,4
Jeremy Sugerman,1,1:Jeremy Sugerman,1
Jessica Hamrick,1,1:Jessica Hamrick,2
"Jiawei Song,",1,"1:Jiawei Song,",1
Jim Gray,1,1:Jim Gray,5
Jitendra Malik,1,1:Jitendra Malik,3
John (Jack) Good Irving,1,1:John (Jack) Good Irving,5
John A. Gunnels,1,1:John A. Gunnels,1
John Duimovich,1,1:John Duimovich,2
John Gunnels,1,1:John Gunnels,4
John H. Howard,1,1:John H. Howard,2
John K Ousterhout,1,1:John K Ousterhout,1
John L. Hennessy,1,1:John L. Hennessy,3
John L. Klepeis,1,1:John L. Klepeis,4
John M. Chambers,1,1:John M. Chambers,5
John M. Levesque,1,1:John M. Levesque,2
John Salmon,1,1:John Salmon,3
John T Riedl,1,1:John T Riedl,1
John Weigand,1,1:John Weigand,5
Jon Kleinberg,1,1:Jon Kleinberg,4
Jonathan Frederic,1,1:Jonathan Frederic,1
Jonathan L Herlocker,1,1:Jonathan L Herlocker,2
Joseph A Insley,1,1:Joseph A Insley,3
Joseph A Konstan,1,1:Joseph A Konstan,5
Joseph A. Bank,1,1:Joseph A. Bank,4
Joseph Sifakis,1,1:Joseph Sifakis,5
Juan Meza,1,1:Juan Meza,1
Judea Pearl,1,1:Judea Pearl,4
Juergen Lorenz,1,1:Juergen Lorenz,2
Julian Jones,1,1:Julian Jones,3
"June Andronick,",1,"1:June Andronick,",5
Junichi Iwata,1,1:Junichi Iwata,3
Junichiro Makino,1,1:Junichiro Makino,2
Juris Hartmanis,1,1:Juris Hartmanis,2
K. Das Sajal,1,1:K. Das Sajal,5
Kai Engelhardt,1,1:Kai Engelhardt,1
Kalmar Laszlo,1,1:Kalmar Laszlo,4
Kalyan Kumaran,1,1:Kalyan Kumaran,1
Kathryn S. McKinley,1,1:Kathryn S. McKinley,3
Katsuyuki Sakuma,1,1:Katsuyuki Sakuma,2
Kazuo Minami,1,1:Kazuo Minami,4
Keigo Nitadori,1,1:Keigo Nitadori,5
Keith Bostic,1,1:Keith Bostic,5
Kenji Yasuoka,1,1:Kenji Yasuoka,1
Kenneth M. Mackenzie,1,1:Kenneth M. Mackenzie,2
Kevin Elphinstone,1,1:Kevin Elphinstone,3
Kevin Gott,1,1:Kevin Gott,4
Kevin Haaland,1,1:Kevin Haaland,2
Kevin J. Bowers,1,1:Kevin J. Bowers,3
Kilinski Antoni,1,1:Kilinski Antoni,1
Kim Kane,1,1:Kim Kane,4
Kiyoshi Oguri,1,1:Kiyoshi Oguri,5
Kopetz Hermann,1,1:Kopetz Hermann,1
Kozma Laszlo,1,1:Kozma Laszlo,4
Kresten Lindorff-Larsen,1,1:Kresten Lindorff-Larsen,2
Kristen Nygaard,1,1:Kristen Nygaard,3
Kuan-Neng Chen,1,1:Kuan-Neng Chen,5
Kuck David,1,1:Kuck David,2
Kyle J Caspersen,1,1:Kyle J Caspersen,1
Kyle Kelley,1,1:Kyle Kelley,3
L Peter Deutsch,1,1:L Peter Deutsch,4
L. Hennessy John,1,1:L. Hennessy John,5
L. Schatz Vernon,1,1:L. Schatz Vernon,1
L. Scott Steven,1,1:L. Scott Steven,2
L. Seitz Charles,1,1:L. Seitz Charles,3
L. Thompson Ken,1,1:L. Thompson Ken,4
Lamport Leslie,1,1:Lamport Leslie,5
Lampson Butler,1,1:Lampson Butler,2
Lanning Wang,1,1:Lanning Wang,3
Larry M Masinter,1,1:Larry M Masinter,1
Larry Page,1,1:Larry Page,4
Laura Haas,1,1:Laura Haas,5
Lee R Gordon,1,1:Lee R Gordon,5
Leonard M. Adleman,1,1:Leonard M. Adleman,1
Leopold Grinberg,1,1:Leopold Grinberg,2
Leslie Lamport,1,1:Leslie Lamport,3
Leslie Valiant,1,1:Leslie Valiant,4
Lin Gan,1,1:Lin Gan,1
Lin Lin,1,1:Lin Lin,3
Lin-Wang Wang,1,1:Lin-Wang Wang,2
Linfeng Zhang,1,1:Linfeng Zhang,4
Liu Ling,1,1:Liu Ling,5
Logan Moon,1,1:Logan Moon,4
Luca Cardelli,1,1:Luca Cardelli,5
Luca Fedeli,1,1:Luca Fedeli,1
Luqi,1,1:Luqi,2
M. Bolle Ruud,1,1:M. Bolle Ruud,3
M. Denneau Monty,1,1:M. Denneau Monty,1
M. Glushkov Victor,1,1:M. Glushkov Victor,4
M. Ritchie Dennis,1,1:M. Ritchie Dennis,2
M. Spielberg Arnold,1,1:M. Spielberg Arnold,5
MICHAEL I. JORDAN,1,1:MICHAEL I. JORDAN,3
Mahadev Satyanarayanan,1,1:Mahadev Satyanarayanan,1
Makoto Taiji,1,1:Makoto Taiji,3
Manuel Blum,1,1:Manuel Blum,2
Marc Andreessen,1,1:Marc Andreessen,4
Margo Seltzer,1,1:Margo Seltzer,5
Mark Giampapa,1,1:Mark Giampapa,1
Mark Trakhtenbrot,1,1:Mark Trakhtenbrot,2
Markus Eisenbach,1,1:Markus Eisenbach,3
Martin Hellman,1,1:Martin Hellman,4
Martin M. Deneroff,1,1:Martin M. Deneroff,5
Martin Schulz,1,1:Martin Schulz,1
Mary Hall,1,1:Mary Hall,3
Massimiliano Fatica,1,1:Massimiliano Fatica,2
Massimo Bernaschi,1,1:Massimo Bernaschi,4
Mateo Valero,1,1:Mateo Valero,5
Mathieu Luisier,1,1:Mathieu Luisier,1
Matt Kaufmann,1,1:Matt Kaufmann,4
Matthias Bussonnier,1,1:Matthias Bussonnier,2
Mauro Bisson,1,1:Mauro Bisson,3
Mendel Rosenblum,1,1:Mendel Rosenblum,5
Michael J. Flynn,1,1:Michael J. Flynn,5
Michael J. West,1,1:Michael J. West,1
Michael L. Kazar,1,1:Michael L. Kazar,2
Michael Norrish,1,1:Michael Norrish,3
Michael P. Eastwood,1,1:Michael P. Eastwood,4
Michael Papka,1,1:Michael Papka,2
Michael S. Summers,1,1:Michael S. Summers,1
Michael Schmidt,1,1:Michael Schmidt,3
Michael Stonebraker,1,1:Michael Stonebraker,4
Michal Politi,1,1:Michal Politi,5
Mike Olson,1,1:Mike Olson,1
Min Ragan-Kelley,1,1:Min Ragan-Kelley,5
Minsky Marvin,1,1:Minsky Marvin,2
Mitesh Suchak,1,1:Mitesh Suchak,3
Mitsuhisa Sato,1,1:Mitsuhisa Sato,4
Mitsuo Yokokawa,1,1:Mitsuo Yokokawa,1
Mitsuru Ikei,1,1:Mitsuru Ikei,2
Miura Kenichi,1,1:Miura Kenichi,3
Miwako Tsuji,1,1:Miwako Tsuji,4
"Mohan Chen,",1,"1:Mohan Chen,",5
Moler Cleve,1,1:Moler Cleve,4
Moti Yung,1,1:Moti Yung,5
Motoyoshi Kurokawa,1,1:Motoyoshi Kurokawa,1
Muhannad Bakir,1,1:Muhannad Bakir,2
Murali Krishna,1,1:Murali Krishna,3
N. Srivastava Ashok,1,1:N. Srivastava Ashok,1
Nahrstedt Klara,1,1:Nahrstedt Klara,2
Naoya Maruyama,1,1:Naoya Maruyama,3
Navakanta Bhat,1,1:Navakanta Bhat,4
Neil ZaÃ‘Â–ÃŒÂˆm,1,1:Neil Zaїm,5
Neophytos Iacovou,1,1:Neophytos Iacovou,1
Nikolaus Adams,1,1:Nikolaus Adams,4
Noriaki Okimoto,1,1:Noriaki Okimoto,2
Noriyuki Fatatsugi,1,1:Noriyuki Fatatsugi,3
Nygaard Kristen,1,1:Nygaard Kristen,5
O. Evans Bob,1,1:O. Evans Bob,3
Oldfield Homer,1,1:Oldfield Homer,1
Ole-Johan Dahl,1,1:Ole-Johan Dahl,4
Olsen Kenneth,1,1:Olsen Kenneth,5
P. Brooks Frederick,1,1:P. Brooks Frederick,2
P. Thacker Charles,1,1:P. Thacker Charles,2
PC5,1,1:PC5,1
Panagiotis Hadjidoukas,1,1:Panagiotis Hadjidoukas,3
Pat Hanrahan,1,1:Pat Hanrahan,4
Patnaik L.M.,1,1:Patnaik L.M.,5
Patterson David,1,1:Patterson David,4
Paul Ivanov,1,1:Paul Ivanov,1
Paul J Resnick,1,1:Paul J Resnick,2
Paul Kent,1,1:Paul Kent,3
Paul M. Zimmerman,1,1:Paul M. Zimmerman,5
Paul Maragakis,1,1:Paul Maragakis,2
Paul Mockapetris,1,1:Paul Mockapetris,3
Pavlos Vranas,1,1:Pavlos Vranas,1
"Pengpeng Zhao,",1,"1:Pengpeng Zhao,",4
Peter Bergstrom,1,1:Peter Bergstrom,5
Peter J. Denning,1,1:Peter J. Denning,1
Peter M. Kogge,1,1:Peter M. Kogge,2
Peter Naur,1,1:Peter Naur,3
Peter Parente,1,1:Peter Parente,4
Petros Koumoutsakos,1,1:Petros Koumoutsakos,5
Phani Motamarri,1,1:Phani Motamarri,1
Philip Derrin,1,1:Philip Derrin,2
Philip Heidelberger,1,1:Philip Heidelberger,5
Philippe Mulet,1,1:Philippe Mulet,4
Phoha Shashi,1,1:Phoha Shashi,3
Pierre CasteÃŒÂran,1,1:Pierre Castéran,3
Ping Xu,1,1:Ping Xu,1
PoPCites,1,1:PoPCites,2
Rafal Kolanski,1,1:Rafal Kolanski,4
Raghuram Bindignavle,1,1:Raghuram Bindignavle,5
Rahul Sampath,1,1:Rahul Sampath,1
Raj Reddy,1,1:Raj Reddy,2
Randy Terbush,1,1:Randy Terbush,3
Ranjan Das Sunil,1,1:Ranjan Das Sunil,4
Rao Nageswara,1,1:Rao Nageswara,5
Reitsakas Arnols,1,1:Reitsakas Arnols,1
Remi Lehe,1,1:Remi Lehe,2
ReneÃŒÂ. H. Poelma,1,1:René. H. Poelma,4
Richard E. Stearns,1,1:Richard E. Stearns,3
Richard Larson,1,1:Richard Larson,5
Richard R Burton,1,1:Richard R Burton,5
Richard Stallman,1,1:Richard Stallman,1
Richard W. Vuduc,1,1:Richard W. Vuduc,4
Richards Martin,1,1:Richards Martin,2
Rio Yokota,1,1:Rio Yokota,3
Rivi Sherman,1,1:Rivi Sherman,4
Robert (Bob) Harper,1,1:Robert (Bob) Harper,4
Robert Cailliau,1,1:Robert Cailliau,5
Robert E Kahn,1,1:Robert E Kahn,1
Robert E Rudd,1,1:Robert E Rudd,3
Robert E. Kahn,1,1:Robert E. Kahn,2
Robert Gerber,1,1:Robert Gerber,1
Robert Metcalfe,1,1:Robert Metcalfe,2
Robert N. Sidebotham,1,1:Robert N. Sidebotham,4
Robert S Boyer,1,1:Robert S Boyer,3
Robert S. Thau,1,1:Robert S. Thau,5
Ron Dror,1,1:Ron Dror,1
Ron Soltz,1,1:Ron Soltz,5
Ronald L. Rivest,1,1:Ronald L. Rivest,2
Ronald M. Kaplan,1,1:Ronald M. Kaplan,3
Roy T. Fielding,1,1:Roy T. Fielding,4
Ryoko Yanai,1,1:Ryoko Yanai,1
Ryutaro Himeno,1,1:Ryutaro Himeno,2
S. Bay John,1,1:S. Bay John,3
S. Kilby Jack,1,1:S. Kilby Jack,4
S. Trivedi Kishor,1,1:S. Trivedi Kishor,5
S. Yu Philip,1,1:S. Yu Philip,1
Sachchida Nand Tripathi,1,1:Sachchida Nand Tripathi,2
Sambit Das,1,1:Sambit Das,4
Sammet Jean,1,1:Sammet Jean,3
Sandhu Ravi,1,1:Sandhu Ravi,5
Sanghamitra Bandyopadhyay,1,1:Sanghamitra Bandyopadhyay,4
Sanjay Ghemawat,1,1:Sanjay Ghemawat,1
Sanjeev Arora,1,1:Sanjeev Arora,2
Santos Eunice,1,1:Santos Eunice,3
Satoshi Matsuoka,1,1:Satoshi Matsuoka,5
Scott Devine,1,1:Scott Devine,4
Scott Futral,1,1:Scott Futral,1
Scott Shenker,1,1:Scott Shenker,4
Sean McNee,1,1:Sean McNee,2
Sergey Brin,1,1:Sergey Brin,3
Shahram Ghandeharizadeh,1,1:Shahram Ghandeharizadeh,5
Shaowen Su,1,1:Shaowen Su,2
Shekhar Shashi,1,1:Shekhar Shashi,1
Shigenori Fujikawa,1,1:Shigenori Fujikawa,5
Shravan Veerapaneni,1,1:Shravan Veerapaneni,3
Shyong K. Lam,1,1:Shyong K. Lam,4
Shyu Mei-Ling,1,1:Shyu Mei-Ling,3
Simon Lam,1,1:Simon Lam,4
Simon Peyton Jones,1,1:Simon Peyton Jones,1
Simon Winwood,1,1:Simon Winwood,2
Simone Melchionna,1,1:Simone Melchionna,5
Singhal Mukesh,1,1:Singhal Mukesh,1
Sitharama Iyengar S.,1,1:Sitharama Iyengar S.,2
Snir Marc,1,1:Snir Marc,3
Stefan Kral,1,1:Stefan Kral,4
Stefano Piana,1,1:Stefano Piana,5
Steffen Schmidt,1,1:Steffen Schmidt,1
Stephan Jaure,1,1:Stephan Jaure,5
Steve Northover,1,1:Steve Northover,2
Steven K. Esser,1,1:Steven K. Esser,3
Steven Silvester,1,1:Steven Silvester,4
Stonebraker Michael,1,1:Stonebraker Michael,1
